,prompton,beltzvilleCombined,fewalter,blueMarsh
1970-11-26,,145.83540827821912,462.6760543526224,
1970-11-27,,138.05751984213057,434.0384648546635,
1970-11-28,,129.3073953496502,417.92982080534057,
1970-11-29,,123.4739790112995,406.29580011074586,
1970-11-30,,130.27963140604197,435.8283142242533,
1970-12-01,,106.47964635825171,387.5957047908359,
1970-12-02,,100.05415046381306,354.8056126691299,
1970-12-03,,95.46451052906743,334.62709434030154,
1970-12-04,,111.98721427994649,390.11801954941143,
1970-12-05,,94.5465825421183,373.3025876520918,
1970-12-06,,89.03901463462876,351.44252623762117,
1970-12-07,,82.61351872598486,305.2000885199922,
1970-12-08,,77.10595081849533,295.1108294856901,
1970-12-09,,78.94180677818837,257.276107716721,
1970-12-10,,77.10595081849533,237.09758951800472,
1970-12-11,,75.27009484459707,235.41604630225035,
1970-12-12,,84.44937469988311,266.52459520820196,
1970-12-13,,78.94180677818837,251.39070652663673,
1970-12-14,,75.27009484459707,237.09758951800472,
1970-12-15,,74.35216685764794,229.53064511216607,
1970-12-16,,71.59838289680056,222.80447237926066,
1970-12-17,,82.61351872598486,256.4353361738999,
1970-12-18,,79.85973476513749,249.70916344099444,
1970-12-19,,75.27009484459707,242.14221903515576,
1970-12-20,,80.77766275208661,279.1361691311917,
1970-12-21,,76.1880228315462,282.4992555627004,
1970-12-22,,75.27009484459707,284.1807987784548,
1970-12-23,,75.27009484459707,273.2507679411074,
1970-12-24,,75.27009484459707,269.0469100968896,
1970-12-25,,71.59838289680056,250.54993498381558,
1970-12-26,,71.59838289680056,243.82376225091016,
1970-12-27,,68.84459893595317,227.00833035359054,
1970-12-28,,66.0908149751058,213.5559848877797,
1970-12-29,,64.25495901541277,205.14826893911987,
1970-12-30,,60.58324706761626,193.3774665589513,
1970-12-31,,63.33703102846365,205.14826893911987,
1971-01-01,,62.95763958485518,206.35784521224804,
1971-01-02,,60.25945502823601,194.51764091439156,
1971-01-03,,58.460665323823235,180.98597897188066,
1971-01-04,,77.34795719232058,232.5754402749427,
1971-01-05,,127.71406886020472,441.4704720850516,
1971-01-06,,119.61951520426562,473.6081692966745,
1971-01-07,,108.82677699170738,400.02975730431245,
1971-01-08,,104.32980273067542,338.2915494789276,
1971-01-09,,95.33585422252995,311.22822546302655,
1971-01-10,,91.7382748137044,272.3246972801482,
1971-01-11,,87.24130056659087,249.49001776852094,
1971-01-12,,85.44251086217808,231.72971132173623,
1971-01-13,,78.24735204452696,240.18700006852538,
1971-01-14,,79.14674689673335,232.5754402749427,
1971-01-15,,74.64977264961983,222.42669375261988,
1971-01-16,,69.25340353638148,207.2035740345753,
1971-01-17,,62.95763958485518,205.51211625904162,
1971-01-18,,59.36006017602962,205.51211625904162,
1971-01-19,,57.56127047161684,192.82618313885794,
1971-01-20,,55.76248076720407,191.13472549420348,
1971-01-21,,55.76248076720407,189.4432677186698,
1971-01-22,,53.963691062791284,177.60306342081333,
1971-01-23,,52.164901372296924,174.2201480006252,
1971-01-24,,52.164901372296924,174.2201480006252,
1971-01-25,,50.36611166788414,175.91160577615886,
1971-01-26,,59.36006017602962,194.51764091439156,
1971-01-27,,55.76248076720407,175.91160577615886,
1971-01-28,,50.36611166788414,162.37994370276874,
1971-01-29,,46.76853225905859,150.53973953579148,
1971-01-30,,46.76853225905859,152.23119731132513,
1971-01-31,,43.17095285023302,142.08245078900234,
1971-02-01,,40.687742653608986,138.68839733056382,
1971-02-02,,41.65649843214671,138.68839733056382,
1971-02-03,,38.75023109653354,129.6826572472405,
1971-02-04,,37.78147531799581,131.48380526669249,
1971-02-05,,41.65649843214671,142.29069336946785,
1971-02-06,,48.43778886691897,169.3079136612478,
1971-02-07,,45.531521531305806,153.09758151405313,
1971-02-08,,48.43778886691897,169.3079136612478,
1971-02-09,,60.062858194379864,201.7285779556371,
1971-02-10,,54.25032353814532,183.71709776111712,
1971-02-11,,48.43778886691897,167.50676561392248,
1971-02-12,,45.531521531305806,165.7056175665971,
1971-02-13,,125.93825105998607,459.2927444027927,
1971-02-14,,294.50175628568115,1272.5110741819299,
1971-02-15,,232.50138654921764,1201.3657274971958,
1971-02-16,,180.1885745981314,978.0233733917548,
1971-02-17,,151.12590124199966,764.5873333375531,
1971-02-18,,137.56332038744694,654.7173042624745,
1971-02-19,,138.53207616598468,576.367365527806,
1971-02-20,,145.31336660075692,525.0346470849173,
1971-02-21,,178.25106301107232,621.3960660141059,
1971-02-22,,238.3139213103948,552.0518672373306,
1971-02-23,,372.97097428726954,772.6924994808337,
1971-02-24,,389.43982255239445,808.7154597305071,
1971-02-25,,332.28323170861955,661.9218963124092,
1971-02-26,,305.1580699395469,585.3731056250659,
1971-02-27,,451.440192288858,915.883766804281,
1971-02-28,,500.84673693431466,1262.6047601306905,
1971-03-01,,316.0634098521902,1204.6036083906313,
1971-03-02,,267.18762492920195,1110.2337404568134,
1971-03-03,,318.23566700096524,948.3246532621187,
1971-03-04,,314.9772813618436,853.0295906007836,
1971-03-05,,260.67085348287685,731.8290738508476,
1971-03-06,,217.2257111797034,659.6638808092085,
1971-03-07,,249.80956790708345,731.8290738508476,
1971-03-08,,304.11599578605023,750.3329695466044,
1971-03-09,,251.9818250558585,642.0851798409689,
1971-03-10,,233.51763954339344,564.3688180046967,
1971-03-11,,231.34538256270022,522.7350528324207,
1971-03-12,,231.34538256270022,503.3059622659701,
1971-03-13,,233.51763954339344,521.8098579617268,
1971-03-14,,231.34538256270022,598.6010250704819,
1971-03-15,,262.8431106316519,1047.3204951198759,
1971-03-16,,307.3743814251719,1933.6570979157507,
1971-03-17,,320.40792414974027,1942.909045190922,
1971-03-18,,300.8576101469286,1401.6700972354515,
1971-03-19,,288.9101959127068,1182.3989334984524,
1971-03-20,,325.8385669376369,1038.0685472719974,
1971-03-21,,273.7043962074452,884.486213197664,
1971-03-22,,254.15408220463357,761.4353069926938,
1971-03-23,,236.77602535059688,685.5693347546326,
1971-03-24,,220.48409698690685,621.7308946901779,
1971-03-25,,207.4505542623385,558.8176493532403,
1971-03-26,,196.58926868654515,520.8846632342097,
1971-03-27,,186.8141116010984,486.65245616842435,
1971-03-28,,175.95282619338687,491.27843009236364,
1971-03-29,,169.43605474706175,531.0618058096052,
1971-03-30,,160.74702633685163,574.545960723269,
1971-03-31,,150.9718693186376,547.7153119071509,
1971-04-01,,85.94332842,517.703837462042,
1971-04-02,,87.88189974,698.1413313010289,
1971-04-03,,97.57475632,1157.6667244988587,
1971-04-04,,85.94332842,1177.059539253596,
1971-04-05,,80.12761446,1080.9386312877523,
1971-04-06,,76.89666227,952.7774206666273,
1971-04-07,,97.57475632,917.3644546494907,
1971-04-08,,82.06618578,894.5989764024151,
1971-04-09,,74.95809095,823.7730442376591,
1971-04-10,,72.37332919,991.5630501761021,
1971-04-11,,69.142377,960.3659134591466,
1971-04-12,,67.20380568,898.8148057025963,
1971-04-13,,66.55761524,907.2464643029589,
1971-04-14,,64.61904392,923.2666156958409,
1971-04-15,,61.38809173,802.6938977367527,
1971-04-16,,60.09571085,686.3370092083283,
1971-04-17,,58.80332997,609.6089161277044,
1971-04-18,,56.21856821,548.0578083711541,
1971-04-19,,53.63380646,499.9973544534736,
1971-04-20,,52.34142558,462.05489075184204,
1971-04-21,,51.0490447,433.3872515888989,
1971-04-22,,50.40285426,408.93544159565437,
1971-04-23,,48.46428294,376.0519731325299,
1971-04-24,,47.17190206,347.3843339695867,
1971-04-25,,46.52571162,338.95267536922415,
1971-04-26,,46.52571162,348.22749977742995,
1971-04-27,,45.23333075,357.50232418563576,
1971-04-28,,46.52571162,352.4433290776112,
1971-04-29,,50.40285426,475.54554446022917,
1971-04-30,,45.23333075,459.52539319782977,
1971-05-01,,42.00237855,436.5468395324248,
1971-05-02,,42.64856899,444.88849880980626,
1971-05-03,,42.64856899,545.915262125425,
1971-05-04,,40.70999767,514.4023268384842,
1971-05-05,,38.12523591,447.6690519022668,
1971-05-06,,38.77142635,409.6681593039628,
1971-05-07,,37.47904548,382.7894792189339,
1971-05-08,,46.52571162,376.30152190757065,
1971-05-09,,45.87952119,408.74130832095364,
1971-05-10,,42.00237855,430.98573320407075,
1971-05-11,,37.47904548,386.4968834378365,
1971-05-12,,36.83285504,345.715437603639,
1971-05-13,,86.58951886,775.7743198247006,
1971-05-14,,93.69761369,1292.0303487726362,
1971-05-15,,76.89666227,882.3621893252403,
1971-05-16,,86.58951886,740.553980318857,
1971-05-17,,78.83523359,673.8207055260726,
1971-05-18,,71.08094832,561.671729840612,
1971-05-19,,67.20380568,486.5967956270131,
1971-05-20,,62.68047261,437.473690515434,
1971-05-21,,68.49618656,455.08386034007225,
1971-05-22,,63.97285348,480.10883831564985,
1971-05-23,,58.15713953,419.8635208342287,
1971-05-24,,54.2799969,371.6672667056588,
1971-05-25,,62.03428217,346.6422887300812,
1971-05-26,,76.89666227,367.95986263018915,
1971-05-27,,58.15713953,342.00803352816934,
1971-05-28,,54.2799969,315.12935329970725,
1971-05-29,,52.98761602,297.51918361850204,
1971-05-30,,56.86475865,283.6164180127665,
1971-05-31,,115.6680886,512.5486247290329,
1971-06-01,,80.12761446,503.54316329052835,
1971-06-02,,73.01951963,389.78297398197475,
1971-06-03,,74.95809095,329.81636268411455,
1971-06-04,,67.20380568,290.1325756874508,
1971-06-05,,62.68047261,253.97623647841215,
1971-06-06,,60.09571085,227.5203784806363,
1971-06-07,,58.80332997,214.29244948174838,
1971-06-08,,55.57237777,199.3007967255188,
1971-06-09,,52.98761602,193.12776316541027,
1971-06-10,,49.11047338,176.37238637889718,
1971-06-11,,46.52571162,163.14445751648017,
1971-06-12,,45.23333075,154.3258381838882,
1971-06-13,,45.23333075,161.3807336226676,
1971-06-14,,59.44952041,216.05617337556097,
1971-06-15,,55.57237777,374.79132122574515,
1971-06-16,,49.11047338,425.9393131910134,
1971-06-17,,41.35618811,327.17077691163115,
1971-06-18,,38.77142635,252.21251258459958,
1971-06-19,,36.83285504,205.4738301491564,
1971-06-20,,36.1866646,182.5454199390057,
1971-06-21,,35.54047416,164.026319395151,
1971-06-22,,32.9557124,154.3258381838882,
1971-06-23,,31.66333152,139.33418529118774,
1971-06-24,,31.01714108,126.10625630594689,
1971-06-25,,30.37095064,127.86998017246528,
1971-06-26,,29.7247602,132.27928982511415,
1971-06-27,,28.43237933,125.2243943726877,
1971-06-28,,28.43237933,119.93322278677961,
1971-06-29,,27.78618889,120.81508470639172,
1971-06-30,,27.78618889,126.10625630594689,
1971-07-01,,32.6159222842653,126.68449547081234,
1971-07-02,,36.870173022720415,217.8973321336185,
1971-07-03,,28.36167155678283,174.46264804581523,
1971-07-04,,26.234546187555274,134.64752086263698,
1971-07-05,,25.525504397812757,110.03453317180501,
1971-07-06,,24.816462608070236,93.3845709176087,
1971-07-07,,24.107420818327718,86.14545689550631,
1971-07-08,,24.107420818327718,79.63025427673446,
1971-07-09,,24.107420818327718,76.7346086634124,
1971-07-10,,23.398379028585197,88.31719110549787,
1971-07-11,,22.689337249815324,78.18243147007342,
1971-07-12,,23.398379028585197,76.01069726008188,
1971-07-13,,20.562211880587768,67.32376043131849,
1971-07-14,,21.271253670330285,88.31719110549787,
1971-07-15,,19.853170090845246,81.80198847552325,
1971-07-16,,19.144128301102725,73.83896305009036,
1971-07-17,,19.853170090845246,70.21940604464054,
1971-07-18,,19.853170090845246,73.83896305009036,
1971-07-19,,21.271253670330285,78.90634287340396,
1971-07-20,,23.398379028585197,88.31719110549787,
1971-07-21,,19.853170090845246,81.07807707219274,
1971-07-22,,18.435086511360208,68.77158323797951,
1971-07-23,,18.435086511360208,62.9802920113354,
1971-07-24,,17.726044721617686,57.912912199224564,
1971-07-25,,18.435086511360208,72.39114024342932,
1971-07-26,,17.726044721617686,73.83896305009036,
1971-07-27,,21.980295460072806,128.13231818785133,
1971-07-28,,17.726044721617686,110.03453317180501,
1971-07-29,,18.435086511360208,133.19969803357043,
1971-07-30,,24.107420818327718,332.99924508392604,
1971-07-31,,25.525504397812757,380.7773976589289,
1971-08-01,,25.20142713,467.3981224334473,
1971-08-02,,38.12523591,620.5418254518689,
1971-08-03,,49.11047338,1082.6286056331944,
1971-08-04,,58.80332997,1221.6087290843059,
1971-08-05,,36.1866646,772.8003046702761,
1971-08-06,,27.78618889,486.87304425287937,
1971-08-07,,24.55523669,337.270236023542,
1971-08-08,,22.61666537,256.71487789373543,
1971-08-09,,21.32428449,204.48667862456685,
1971-08-10,,20.67809406,170.84817737481586,
1971-08-11,,21.97047493,149.6028080923462,
1971-08-12,,21.97047493,140.75057091414905,
1971-08-13,,19.38571318,122.16087290843058,
1971-08-14,,18.0933323,111.5381883082931,
1971-08-15,,18.0933323,101.80072742597534,
1971-08-16,,17.44714186,96.48938513275615,
1971-08-17,,16.80095142,90.29281910801815,
1971-08-18,,16.80095142,86.75192423673927,
1971-08-19,,16.80095142,81.44058194352009,
1971-08-20,,16.80095142,82.32580566133981,
1971-08-21,,16.15476098,81.44058194352009,
1971-08-22,,15.50857054,80.55535822570037,
1971-08-23,,14.8623801,74.35879221466148,
1971-08-24,,14.8623801,68.16222618992346,
1971-08-25,,14.8623801,68.16222618992346,
1971-08-26,,14.8623801,68.16222618992346,
1971-08-27,,34.89428372,170.84817737481586,
1971-08-28,,107.9138034,796.7013450788065,
1971-08-29,,46.52571162,704.6380785077507,
1971-08-30,,33.60190284,427.56305513156013,
1971-08-31,,29.7247602,277.9602470392139,
1971-09-01,,27.13999845,184.90518465530266,
1971-09-02,,25.84761757,146.62085132238715,
1971-09-03,,24.55523669,123.81316329408489,
1971-09-04,,23.26285581,110.7801987461011,
1971-09-05,,22.61666537,101.00547531620492,
1971-09-06,,22.61666537,127.07140441217246,
1971-09-07,,21.97047493,212.60023429770843,
1971-09-08,,21.32428449,186.53430525216316,
1971-09-09,,21.97047493,166.1702981065461,
1971-09-10,,20.03190362,158.83925548370163,
1971-09-11,,20.67809406,144.99173072552665,
1971-09-12,,25.20142713,201.1963903717963,
1971-09-13,,47.17190206,374.69773097513104,
1971-09-14,,56.86475865,632.9133413546552,
1971-09-15,,61.38809173,537.6097880140119,
1971-09-16,,47.17190206,388.5452558593619,
1971-09-17,,53.63380646,348.63180192958583,
1971-09-18,,44.58714031,288.3543408541928,
1971-09-19,,40.70999767,253.32824858894256,
1971-09-20,,39.41761679,240.29528406616993,
1971-09-21,,82.71237622,797.4545188643408,
1971-09-22,,60.09571085,667.1248732584472,
1971-09-23,,55.57237777,468.3721638449696,
1971-09-24,,52.98761602,380.399653001115,
1971-09-25,,47.17190206,316.04939049659856,
1971-09-26,,45.87952119,278.5796173990854,
1971-09-27,,45.23333075,266.3612131117152,
1971-09-28,,47.17190206,290.7980216864557,
1971-09-29,,43.29475943,300.572745141563,
1971-09-30,,39.41761679,274.506815969962,
1971-10-01,,36.83285504,284.665425575294,
1971-10-02,,36.1866646,256.5734427510774,
1971-10-03,,35.54047416,249.08224736026844,
1971-10-04,,33.60190284,231.290658325211,
1971-10-05,,32.30952196,218.18106628261228,
1971-10-06,,32.30952196,210.68987089180334,
1971-10-07,,31.66333152,208.81707200787343,
1971-10-08,,30.37095064,204.1350750154147,
1971-10-09,,29.7247602,196.64387947969502,
1971-10-10,,66.55761524,324.9306009276891,
1971-10-11,,66.55761524,518.7652821539447,
1971-10-12,,47.17190206,426.99813843539647,
1971-10-13,,44.58714031,351.14978486797577,
1971-10-14,,43.29475943,303.3934141247718,
1971-10-15,,42.00237855,277.1742301844851,
1971-10-16,,40.70999767,251.89144575861872,
1971-10-17,,38.77142635,232.2270576947206,
1971-10-18,,38.12523591,214.43546865966317,
1971-10-19,,37.47904548,209.75347152229375,
1971-10-20,,36.1866646,201.32587661706444,
1971-10-21,,36.1866646,197.58027899411536,
1971-10-22,,35.54047416,189.15268408888605,
1971-10-23,,34.89428372,183.53428758200704,
1971-10-24,,45.87952119,220.0538651665422,
1971-10-25,,52.34142558,338.97659233979743,
1971-10-26,,50.40285426,603.977629996104,
1971-10-27,,42.64856899,480.3729056854795,
1971-10-28,,39.41761679,374.559770554823,
1971-10-29,,38.12523591,315.5666066529502,
1971-10-30,,37.47904548,276.2378308149755,
1971-10-31,,38.77142635,261.25543988844686,
1971-11-01,,82.71237622,292.2090072579499,
1971-11-02,,131.1766592,461.84712222142474,
1971-11-03,,142.1618966,535.3896575374115,
1971-11-04,,124.7147548,432.4301080343317,
1971-11-05,,104.0366607,365.75154257393666,
1971-11-06,,92.40523281,322.60658852391435,
1971-11-07,,96.92856588,357.9070054877277,
1971-11-08,,84.0047571,351.04303548039013,
1971-11-09,,74.95809095,330.45112561012337,
1971-11-10,,72.37332919,347.12076701315857,
1971-11-11,,68.49618656,342.2179313153097,
1971-11-12,,63.97285348,329.4705585312519,
1971-11-13,,61.38809173,314.7620514377054,
1971-11-14,,56.86475865,303.9758129631363,
1971-11-15,,56.21856821,298.0924100346702,
1971-11-16,,54.2799969,303.9758129631363,
1971-11-17,,52.34142558,294.17014156743863,
1971-11-18,,49.75666382,274.55879877604326,
1971-11-19,,49.75666382,266.7142616898343,
1971-11-20,,50.40285426,268.67539584757714,
1971-11-21,,48.46428294,264.7531273803456,
1971-11-22,,45.87952119,268.67539584757714,
1971-11-23,,42.64856899,247.10291889843893,
1971-11-24,,42.00237855,239.25838181222994,
1971-11-25,,56.21856821,259.85029168249673,
1971-11-26,,54.2799969,317.70375282606557,
1971-11-27,,52.34142558,303.9758129631363,
1971-11-28,,54.2799969,294.17014156743863,
1971-11-29,,94.34380413,343.1984983941812,
1971-11-30,,197.7342744,637.3686399616197,
1971-12-01,,173.66791159832178,586.0718502101734,
1971-12-02,,137.06847568526752,485.15268495108035,
1971-12-03,,117.6923036855685,438.859489772942,
1971-12-04,,107.6453997416641,376.826608348861,
1971-12-05,,96.16322377721599,348.1248273957274,
1971-12-06,,114.10412368973745,417.56462001965446,
1971-12-07,,203.0909875197139,1111.9625468320473,
1971-12-08,,238.25515141222442,1389.7217176143165,
1971-12-09,,246.14914746968662,1196.2161619989467,
1971-12-10,,226.05533951524396,1219.362759588016,
1971-12-11,,222.4671595194129,1800.8052898505346,
1971-12-12,,208.8320754908323,1660.9998410429905,
1971-12-13,,189.45590360218972,1286.9508243761616,
1971-12-14,,166.49155160665964,1047.1520737259339,
1971-12-15,,155.72701161916646,956.417411205439,
1971-12-16,,142.09192770164228,1022.1537483010832,
1971-12-17,,125.5862997430307,939.7518609699653,
1971-12-18,,116.25703177608122,816.6119619680537,
1971-12-19,,106.21012775443732,671.2513292233235,
1971-12-20,,101.90431175944005,601.8115365993964,
1971-12-21,,98.316131763609,586.9977141997043,
1971-12-22,,91.13977178305251,571.2580278104813,
1971-12-23,,83.24577580332982,524.9648326323429,
1971-12-24,,84.68104780166225,527.7424244576555,
1971-12-25,,81.09286780583119,527.7424244576555,
1971-12-26,,76.78705182193956,512.9286019146831,
1971-12-27,,73.9165078252747,510.1510102326508,
1971-12-28,,71.76359982777606,512.9286019146831,
1971-12-29,,68.17541984305065,492.55959615092644,
1971-12-30,,78.22232382027198,531.4458799859383,
1971-12-31,,80.37523180666498,674.0289210486361,
1972-01-01,,90.28231983083265,598.996123924343,
1972-01-02,,118.43487117867714,576.9133175694733,
1972-01-03,,124.25953696597627,640.4013859999136,
1972-01-04,,114.55176064379566,558.5109788692197,
1972-01-05,,121.34720406481516,518.0258338140964,
1972-01-06,,112.61020537635493,449.9371807085927,
1972-01-07,,107.75631720775309,420.49343875970874,
1972-01-08,,103.87320668789471,370.8071243544586,
1972-01-09,,111.63942774263457,370.8071243544586,
1972-01-10,,147.55820014521893,550.2299265395402,
1972-01-11,,129.1134251345781,641.3215028779698,
1972-01-12,,126.20109223341701,689.1675835271074,
1972-01-13,,126.20109223341701,637.6410352233537,
1972-01-14,,204.83408050467452,972.5635991977524,
1972-01-15,,178.62308436417837,739.7740148104139,
1972-01-16,,159.207531689771,532.7477047173428,
1972-01-17,,145.61664487777819,442.57624525696946,
1972-01-18,,141.7335343579198,397.49051538439176,
1972-01-19,,137.85042382303834,404.851450978406,
1972-01-20,,127.17186986713737,392.8899308517194,
1972-01-21,,123.28875933225589,394.73016460783197,
1972-01-22,,115.52253827751603,387.3692291562087,
1972-01-23,,115.52253827751603,401.1709831813989,
1972-01-24,,126.20109223341701,525.3867692657196,
1972-01-25,,127.17186986713737,625.679515096667,
1972-01-26,,104.84398432161507,542.8689909455259,
1972-01-27,,92.22387509827338,470.17975316495887,
1972-01-28,,91.25309746455301,408.5319186330221,
1972-01-29,,88.3407645633919,365.28642280133903,
1972-01-30,,86.39920929595117,338.6030316290149,
1972-01-31,,84.45765402851043,311.9196405990818,
1972-02-01,,93.37835571267236,283.8674921538992,
1972-02-02,,92.26670861962604,276.1953977107495,
1972-02-03,,100.0482382537472,284.7199470333958,
1972-02-04,,106.7181208120251,410.03082197076105,
1972-02-05,,116.7229446322389,358.03107115538637,
1972-02-06,,121.1695330044242,330.75251329653406,
1972-02-07,,104.49482662593248,309.44113998991816,
1972-02-08,,100.0482382537472,281.3101272515692,
1972-02-09,,96.71329697460824,268.52330339951976,
1972-02-10,,93.37835571267236,255.73647941555026,
1972-02-11,,90.0434144335334,247.21193009290394,
1972-02-12,,86.70847315439444,247.21193009290394,
1972-02-13,,230.11094795093265,387.01453877323195,
1972-02-14,,372.4017756544246,821.7665537005154,
1972-02-15,,211.21294750676995,717.7670520697659,
1972-02-16,,173.4169462743827,627.4068294344028,
1972-02-17,,152.2956515581119,513.1778685900938,
1972-02-18,,142.2908277378981,425.37501072514044,
1972-02-19,,143.4024748309444,383.6047191233254,
1972-02-20,,131.17435682463798,358.03107115538637,
1972-02-21,,122.28118009747051,340.98197251009367,
1972-02-22,,111.1647091670073,315.4083245421546,
1972-02-23,,107.82976790507144,306.88377521950827,
1972-02-24,,108.94141498091467,307.736230230925,
1972-02-25,,104.49482662593248,294.94940624695545,
1972-02-26,,106.7181208120251,290.68713158563224,
1972-02-27,,100.0482382537472,282.16258226298595,
1972-02-28,,98.93659116070087,276.1953977107495,
1972-02-29,,125.61612135940639,293.24449635604213,
1972-03-01,,203.9629402596062,470.81686916235765,
1972-03-02,,264.6934786794053,1133.67746123828,
1972-03-03,,350.63291971235947,2093.896075532193,
1972-03-04,,296.7775366957779,1425.7255196371161,
1972-03-05,,258.96418259872,1024.8231850044249,
1972-03-06,,218.85911003392292,769.9448799135407,
1972-03-07,,194.7960665659748,634.5407803382884,
1972-03-08,,184.48333354981114,600.911003959766,
1972-03-09,,162.71200849640462,586.7510981594268,
1972-03-10,,148.96169792049244,525.6865042413888,
1972-03-11,,137.50310577685437,454.8869751027371,
1972-03-12,,165.00372692867873,505.33163960204286,
1972-03-13,,160.4202900641305,688.5254213561568,
1972-03-14,,148.96169792049244,635.4257745364068,
1972-03-15,,137.50310577685437,568.1662217793621,
1972-03-16,,169.58716379322698,546.0413688807348,
1972-03-17,,495.0111806973735,1466.4352486418968,
1972-03-18,,428.55134637421446,1612.4592769511032,
1972-03-19,,328.8615947121505,1256.691643135519,
1972-03-20,,271.56863390529753,992.0784028240209,
1972-03-21,,241.77629435666415,883.2241267271213,
1972-03-22,,324.2781577766722,1749.6333646486812,
1972-03-23,,354.0704973253056,2380.6341697010075,
1972-03-24,,303.65269192167017,1548.7397015343547,
1972-03-25,,268.13105629235145,1100.0476848597575,
1972-03-26,,239.48457588892495,876.1441736899963,
1972-03-27,,218.85911003392292,750.4750094723132,
1972-03-28,,206.2546587273454,669.940544976092,
1972-03-29,,194.7960665659748,621.265868599112,
1972-03-30,,183.33747440460422,636.3107685975697,
1972-03-31,,166.14958614481577,622.1508627972305,
1972-04-01,,141.37810089568833,592.5946083588696,
1972-04-02,,136.1418749305864,604.9403292981125,
1972-04-03,,127.7639134026297,586.4217478210146,
1972-04-04,,124.6221778235685,546.7390731102615,
1972-04-05,,119.38595185846657,502.6472124570031,
1972-04-06,,112.05523552353027,482.36495652102275,
1972-04-07,,112.05523552353027,534.3933521710187,
1972-04-08,,105.77176436540792,497.3561890803558,
1972-04-09,,99.48829322349204,444.44595626915213,
1972-04-10,,96.34655764443086,417.99083979531684,
1972-04-11,,95.29931245141047,410.9361420962542,
1972-04-12,,91.11033167932891,420.636351415407,
1972-04-13,,123.57493263054812,527.338654471956,
1972-04-14,,118.33870666544618,680.7783298018537,
1972-04-15,,112.05523552353027,665.7870971060535,
1972-04-16,,126.71666820960931,757.4981674668024,
1972-04-17,,193.7403605467079,1571.4339170719747,
1972-04-18,,175.93719223294835,1189.5984026602446,
1972-04-19,,167.55923072119813,888.0100752406296,
1972-04-20,,185.36239887289318,973.5482850635235,
1972-04-21,,174.88994710475376,1190.4802399579194,
1972-04-22,,162.32300475609617,964.7299129055784,
1972-04-23,,167.55923072119813,896.8284473985748,
1972-04-24,,159.1812691446221,883.6008891616572,
1972-04-25,,148.70881723062462,784.8351211018454,
1972-04-26,,140.33085570266795,663.1415854859634,
1972-04-27,,135.09462973756598,579.3670501219519,
1972-04-28,,133.0001393515252,516.7566078551284,
1972-04-29,,124.6221778235685,476.19209598316775,
1972-04-30,,117.2914614724258,440.9186073513873,
1972-05-01,,120.13928588774141,413.4496621299266,
1972-05-02,,126.7524575784385,445.4530877857207,
1972-05-03,,131.16123871694109,568.2770460118444,
1972-05-04,,231.46100943025033,994.7010698036775,
1972-05-05,,275.5488208152764,1132.229304758435,
1972-05-06,,231.46100943025033,831.224111391252,
1972-05-07,,198.39515106204897,659.9625358478279,
1972-05-08,,187.37319821579246,596.8206419357484,
1972-05-09,,176.35124536953597,590.7659397376221,
1972-05-10,,176.35124536953597,794.0309409368405,
1972-05-11,,154.30733965996615,710.9950254975097,
1972-05-12,,143.28538683076644,580.3864502742421,
1972-05-13,,132.26343400156674,499.9454073011475,
1972-05-14,,132.26343400156674,464.4821517796084,
1972-05-15,,143.28538683076644,511.1898541640364,
1972-05-16,,165.3292924891658,680.7215147745881,
1972-05-17,,136.67221512301253,635.7437271891777,
1972-05-18,,151.00075380608916,564.8172161460994,
1972-05-19,,135.5700198554437,530.2189180240691,
1972-05-20,,167.53368305841713,599.4155142681298,
1972-05-21,,166.43148777379147,805.2753877997294,
1972-05-22,,149.89855853852032,690.2360467046044,
1972-05-23,,143.28538683076644,544.923194752703,
1972-05-24,,137.7744104076382,454.1026623162283,
1972-05-25,,128.95684814768978,397.88042786792903,
1972-05-26,,121.24148117236706,345.11802341922964,
1972-05-27,,115.73050474923879,313.97955502908945,
1972-05-28,,110.21952832611053,294.085533635693,
1972-05-29,,102.50416135078781,276.78638470853275,
1972-05-30,,96.99318492765954,269.00176757753394,
1972-05-31,,260.11808693285815,2318.0859712312235,
1972-06-01,,324.74107968583894,2365.057008,
1972-06-02,,270.6175663807975,1369.923731,
1972-06-03,,229.5583494555015,940.8532795,
1972-06-04,,187.56596842056086,680.4385325,
1972-06-05,,164.23686784559382,600.310918,
1972-06-06,,155.83839172525174,499.5052095,
1972-06-07,,139.97460327651012,432.9475943,
1972-06-08,,125.04397893741323,360.5742651,
1972-06-09,,118.51183077642246,317.9256961,
1972-06-10,,130.64296306096432,423.2547377,
1972-06-11,,109.18019056087665,368.9747408,
1972-06-12,,101.71487839132823,310.1714108,
1972-06-13,,97.98222229933349,279.8004602,
1972-06-14,,95.18273023033746,265.5842705,
1972-06-15,,90.51691012978505,252.0142713,
1972-06-16,,93.31640218434008,268.1690323,
1972-06-17,,90.51691012978505,284.9699837,
1972-06-18,,95.18273023033746,281.0928411,
1972-06-19,,162.37053977071446,778.6594793,
1972-06-20,,119.44499479942114,706.9323405,
1972-06-21,,125.97714296041191,630.6818687,
1972-06-22,,298.61248707075794,1867.490369,
1972-06-23,,826.7833234526073,4219.623568,
1972-06-24,,686.8087201472151,2849.699837,
1972-06-25,,517.906032186628,1841.642752,
