datetime,prompton,beltzvilleCombined,fewalter
1945-01-01,,,
1945-01-02,,,
1945-01-03,,,
1945-01-04,,,
1945-01-05,,,
1945-01-06,,,
1945-01-07,,,
1945-01-08,,,
1945-01-09,,,
1945-01-10,,,
1945-01-11,,,
1945-01-12,,,
1945-01-13,,,
1945-01-14,,,
1945-01-15,,,
1945-01-16,,,
1945-01-17,,,
1945-01-18,,,
1945-01-19,,,
1945-01-20,,,
1945-01-21,,,
1945-01-22,,,
1945-01-23,,,
1945-01-24,,,
1945-01-25,,,
1945-01-26,,,
1945-01-27,,,
1945-01-28,,,
1945-01-29,,,
1945-01-30,,,
1945-01-31,,,
1945-02-01,,,
1945-02-02,,,
1945-02-03,,,
1945-02-04,,,
1945-02-05,,,
1945-02-06,,,
1945-02-07,,,
1945-02-08,,,
1945-02-09,,,
1945-02-10,,,
1945-02-11,,,
1945-02-12,,,
1945-02-13,,,
1945-02-14,,,
1945-02-15,,,
1945-02-16,,,
1945-02-17,,,
1945-02-18,,,
1945-02-19,,,
1945-02-20,,,
1945-02-21,,,
1945-02-22,,,
1945-02-23,,,
1945-02-24,,,
1945-02-25,,,
1945-02-26,,,
1945-02-27,,,
1945-02-28,,,
1945-03-01,,,
1945-03-02,,,
1945-03-03,,,
1945-03-04,,,
1945-03-05,,,
1945-03-06,,,
1945-03-07,,,
1945-03-08,,,
1945-03-09,,,
1945-03-10,,,
1945-03-11,,,
1945-03-12,,,
1945-03-13,,,
1945-03-14,,,
1945-03-15,,,
1945-03-16,,,
1945-03-17,,,
1945-03-18,,,
1945-03-19,,,
1945-03-20,,,
1945-03-21,,,
1945-03-22,,,
1945-03-23,,,
1945-03-24,,,
1945-03-25,,,
1945-03-26,,,
1945-03-27,,,
1945-03-28,,,
1945-03-29,,,
1945-03-30,,,
1945-03-31,,,
1945-04-01,,,
1945-04-02,,,
1945-04-03,,,
1945-04-04,,,
1945-04-05,,,
1945-04-06,,,
1945-04-07,,,
1945-04-08,,,
1945-04-09,,,
1945-04-10,,,
1945-04-11,,,
1945-04-12,,,
1945-04-13,,,
1945-04-14,,,
1945-04-15,,,
1945-04-16,,,
1945-04-17,,,
1945-04-18,,,
1945-04-19,,,
1945-04-20,,,
1945-04-21,,,
1945-04-22,,,
1945-04-23,,,
1945-04-24,,,
1945-04-25,,,
1945-04-26,,,
1945-04-27,,,
1945-04-28,,,
1945-04-29,,,
1945-04-30,,,
1945-05-01,,,
1945-05-02,,,
1945-05-03,,,
1945-05-04,,,
1945-05-05,,,
1945-05-06,,,
1945-05-07,,,
1945-05-08,,,
1945-05-09,,,
1945-05-10,,,
1945-05-11,,,
1945-05-12,,,
1945-05-13,,,
1945-05-14,,,
1945-05-15,,,
1945-05-16,,,
1945-05-17,,,
1945-05-18,,,
1945-05-19,,,
1945-05-20,,,
1945-05-21,,,
1945-05-22,,,
1945-05-23,,,
1945-05-24,,,
1945-05-25,,,
1945-05-26,,,
1945-05-27,,,
1945-05-28,,,
